응답일시,과정명,강사명,만족도(5점),강의내용,강사역량,실습만족도,주관식_좋았던점,주관식_개선점
2026-02-15,생성형 AI 로우코딩,신동원,5,5,5,4,"실습이 많아서 좋았습니다. 바로 업무에 적용할 수 있을 것 같아요.","시간이 좀 더 있었으면 좋겠습니다."
2026-02-15,생성형 AI 로우코딩,신동원,4,4,5,4,"강사님이 쉽게 설명해주셔서 이해가 잘 됐습니다.","교재가 있으면 복습하기 좋을 것 같습니다."
2026-02-15,생성형 AI 로우코딩,신동원,5,5,5,5,"현업에서 바로 쓸 수 있는 실습이 최고였습니다.",""
2026-02-15,생성형 AI 로우코딩,신동원,3,3,4,3,"전반적으로 괜찮았지만 속도가 좀 빨랐습니다.","기초반과 심화반을 나눠주면 좋겠습니다."
2026-02-15,생성형 AI 로우코딩,신동원,4,4,4,4,"AI 활용법을 체계적으로 배울 수 있어서 유익했습니다.","실습 시간이 부족했어요."
2026-02-15,생성형 AI 로우코딩,신동원,5,5,5,5,"정말 유익한 교육이었습니다! 팀원들에게도 추천하고 싶어요.",""
2026-02-15,생성형 AI 로우코딩,신동원,4,4,5,3,"강사님의 실무 경험 공유가 좋았습니다.","실습 환경 세팅에 시간이 많이 걸렸어요."
2026-02-15,생성형 AI 로우코딩,신동원,5,5,5,5,"기존에 막연하게 느꼈던 AI 활용이 구체적으로 와닿았습니다.","후속 심화 과정이 있으면 좋겠습니다."
2026-02-15,생성형 AI 로우코딩,신동원,4,3,4,4,"전체적으로 만족합니다.","일부 내용이 반복되는 느낌이 있었습니다."
2026-02-15,생성형 AI 로우코딩,신동원,2,2,3,2,"기대했던 것과 다른 내용이었습니다. 좀 더 고급 내용을 다뤘으면.","수강 대상 레벨을 명확히 해주세요."
2026-02-15,생성형 AI 로우코딩,신동원,5,5,5,4,"프롬프트 작성법이 가장 유용했습니다.",""
2026-02-15,생성형 AI 로우코딩,신동원,4,4,4,4,"동료들과 함께 실습하니 더 재미있었습니다.","조별 활동 시간이 부족했습니다."
2026-02-15,생성형 AI 로우코딩,신동원,5,5,5,5,"회사에서 이런 교육을 해준다는 것 자체가 감사합니다.",""
2026-02-15,생성형 AI 로우코딩,신동원,3,3,4,2,"내용은 좋은데 실습이 어려웠습니다.","단계별로 천천히 진행해주시면 좋겠습니다."
2026-02-15,생성형 AI 로우코딩,신동원,4,4,4,4,"AI를 업무에 어떻게 적용할지 감이 잡혔습니다.","사례 공유 시간이 더 있었으면."
2026-02-15,생성형 AI 로우코딩,신동원,5,5,5,5,"올해 들은 교육 중 최고입니다!","더 자주 열어주세요."
2026-02-15,생성형 AI 로우코딩,신동원,4,4,5,3,"강사님 전문성이 뛰어나십니다.","실습용 노트북 성능이 좀 아쉬웠습니다."
2026-02-15,생성형 AI 로우코딩,신동원,3,4,3,3,"내용은 알찼지만 시간 배분이 아쉬웠습니다.","오전에 이론, 오후에 실습으로 나눠주세요."
2026-02-15,생성형 AI 로우코딩,신동원,5,5,5,4,"실무에 바로 적용 가능한 스킬을 배웠습니다. 감사합니다.",""
2026-02-15,생성형 AI 로우코딩,신동원,4,4,4,4,"좋은 교육이었습니다. 다음에도 참여하고 싶어요.","교육장이 좀 추웠습니다."
2026-02-15,생성형 AI 로우코딩,신동원,5,4,5,5,"실습 과제가 실무와 연결되어 좋았습니다.",""
2026-02-15,생성형 AI 로우코딩,신동원,4,4,4,3,"AI 관련 기초 지식을 쌓을 수 있었습니다.","심화 내용도 다뤄주세요."
2026-02-15,생성형 AI 로우코딩,신동원,5,5,5,5,"정말 좋은 교육! 팀 전체가 들으면 좋겠습니다.",""
2026-02-15,생성형 AI 로우코딩,신동원,3,3,3,3,"보통입니다.","특별히 새로운 내용은 없었습니다."
2026-02-15,생성형 AI 로우코딩,신동원,4,5,4,4,"커리큘럼이 체계적이었습니다.","쉬는 시간을 좀 더 주세요."
2026-02-15,생성형 AI 로우코딩,신동원,5,5,5,5,"배운 내용을 바로 다음 주부터 쓰기 시작했습니다!",""
2026-02-15,생성형 AI 로우코딩,신동원,4,4,4,4,"전반적으로 만족스러운 교육이었습니다.","일정이 좀 빡빡했어요."
2026-02-15,생성형 AI 로우코딩,신동원,5,5,5,4,"현업 적용 사례가 많아서 좋았습니다.",""
2026-02-15,생성형 AI 로우코딩,신동원,4,3,5,4,"강사님 실력은 최고입니다.","교재 오탈자가 몇 개 있었어요."
2026-02-15,생성형 AI 로우코딩,신동원,5,5,5,5,"지금까지 받은 사내 교육 중 가장 실용적이었습니다. 강력 추천합니다.",""
